Abrade
Acorn Catapult
Akroma's Memorial
Alpha Kavu
Ameboid Changeling
Ancestor's Prphet
Ancient Craving
Angels' Grace
Angrath, Captain of Chaos
Anointer Priest
Arcbound Slith
Arcum's Astrolabe
Army Ants
Aven Riftwatcher
Awakening
Battle of Wits
Beck // Call
Belfry Spirit
Beseech the Queen
Blight Sickle
Bloodlord of Vaasgoth
Body Snatcher
Bogbrew Witch
Boggart Arsonists
Bonehoard
Boros Challenger
Brain Freeze
Brink of Madness
Broodstar
Brothers Yamazaki
Burst Lightning
Cadaverous Knight
Calming Licid
Cathedral of War
Chemister's Insight
Chromanticore
Clearwater Goblet
Cloudgoat Ranger
Command Beacon
Contagion Engine
Council's Judgement
Coveted Peacock
Cradle Guard
Crown of Empires
Cruel Tutor
Crystalline Sliver
Cut // Ribbons
Decree of Annihilation
Diregraf Captain
Disenchant
Djinn Illuminatus
Doom Blade
Doomwake Giant
Door to Nothingness
Doran, the Siege-Tower
Drift of Phantasms
Dromar, the Banisher
Dryad Arbor
Electrostatic Pummeler
Elvish Archdruid
Emrakul, the Aeons Torn
Enclave Cryptologist
Endling
Enlightened Tutor
Entreat the Angels
Erratic Portal
Eternal Domination
Etherium-Horn Sorcerer
Evermind
Extinction
Eye of the Storm
Ezuri, Claw of Progress
Fabricate
Fathom Mage
Fellwar Stone
Fiery Justice
Fodder Cannon
Fomori Nomad
Food Chain
Forced Fruition
Fractured Powerstone
Gaea's Anthem
Gatekeeper of Malakir
Gempalm Polluter
Gemstone Mine
Gigantosaurus
Goblin Chieftain
Goblin Lore
Godsire
Goldenglow Moth
Golgari Thug
Grim Haruspex
Grim Harvest
Grizzly Fate
Groundbreaker
Hammer Mage
Hammer of Purphoros
Harmonize
Hashep Oasis
Helix Pinnacle
Hell's Thunder
Helm of Kaldra
Hidestugu's Second Rite
Hua Tuo, Honored Physician
Hundred-Handed One
Imperious Perfect
Inventor's Fair
Ishkanah, Gradwidow
Isochron Scepter
Iterative Analysis
Ith, High Arcanist
Ixidor, Reality Sculptor
Jadelight Ranger
Kalonian Hydra
Keeper of the Nine Gales
Kher Keep
Kilnmouth Dragon
Kingpin's Pet
Korlash, Heir to Blackblade
Krark's Thumb
Land Tax
Lash Out
Lashweed Lurker
Latchkey Faerie
Lazab, the Multifarious
Light Up the Stage
Lightning Angel
Lightning Bolt
Lightning Crafter
Living Death
Llanowar Reborn
Lord of the Undead
Lotus Bloom
Loyal Unicorn
Maelstrom Nexus
Man-o'-War
Marauding Raptor
Memnite
Merfolk Mistbinder
Mischievous Quanar
Moggcatcher
Monastery Mentor
Moon-Eating Dog
Moonmist
Muldrotha, the Gravetide
Murderous Cut
Murderous Redcap
Muscle Sliver
Mycosynth Golem
Necravolver
Necromancy
Necrotic Sliver
Negate
Nezumi Graverobber
Nicol Bolas
Nightshade Peddler
Noble Benefactor
Noggle Hedge-Mage
Nykthos, Shrine to Nyx
Nylea, God of the Hunt
Octopus Umbra
Odds // Ends
Oloro, Ageless Ascetic
Oubliette
Pact of Negation
Panharmonicon
Parallax Wave
Parallel Evolution
Patron of the Akki
Patron Wizard
Pegasus Stampede
Phyrexian Obliterator
Phyrexian Tower
Phyrexian Tyranny
Plains (Unglued)
Platinum Angel
Primal Vigor
Prismatic Geoscope
Progenitus
Promise of Power
Pteramander
Reality Shift
Regal Caracal
Relentless Rats
Reveillark
Rootrunner
Ruination Guide
Saber Ants
Scarecrone
Scourge of the Throne
Scroll Rack
Sedge Sliver
Sensei Golden-Tail
Shambling Shell
Shelldock Isle
Shivan Meteor
Shuriken
Simian Spirit Guide
Skithiryx, the Blight Dragon
Skred
Skullclamp
Sky Hussar
Skyshroud Behemoth
Slimefoot, the Stowaway
Snubhorn Sentry
Soltari Monk
Song of the Dryads
Spike Weaver
Spined Thopter
Splicer's Skill
Springjack Shepherd
Stone Rain
Stonybrook Banneret
Sunscape Battlemage
Swiftfoot Boots
Tamiyo's Journal
Tek
Temporal Manipulation
Terminate
The Chain Veil
The Flame of Keld
Thought Vessel
Thrumming Stone
Tombstalker
Tortured Existence
Training Grounds
Triplicate Spirits
Trokin High Guard
Tuktuk the Explorer
Ulvenwald Mysteries
Unburial Rites
Urborg Panther
Urza's Blueprints
Vampire Nocturnus
Vanguard of Brimaz
Vesuva
Victimize
Vite-Ghazi Guildmage
Vodalian Illusionist
Voracious Dragon
Warp World
Wastes
Wayfarer's Bauble
Weatherlight
Wild Research
Willow Dryad
Wizened Cenn
Workhorse
Worn Powerstone
Wrath of God
Wrenn and Six
Yavimaya Scion
Adarkar Valkyrie
Beanstalk Giant
Birthing Boughs
Bonecrusher Giant
Brallin, Skyshark Rider
Cavern of Souls
Cold Storage
Combustible Gearhulk
Cranial Plating
Crested Sunmare
Dark Depths
Daxos, Blessed by the Sun
Desolation Angel
Elspeth Conquers Death
Freyalise, Llanowar's Fury
Frost Titan
Giver of Runes
Hans Eriksson
Herald's Horn
Horned Helm
Hunted Troll
Ice Cave
Ice-Fang Coatl
Into the North
Jokulmorder
Jötun Grunt
Kaya, Ghost Assassin
Kindred Discovery
Korvold, Fae-Cursed King
Liliana's Devotee
Morophon, the Boundless
Mystical Tutor
Ohran Frostfang
Panglacial Wurm
Parcelbeast
Pillage
Read the Runes
Release the Dogs
Rite of Flame
Runed Stalactite
Scrying Sheets
Seething Song
Shabraz, the Skyshark
Skyclave Shade
Tibalt, Rakish Instigator
Vernal Equinox
Vorinclex, Voice of Hunger
Yore-Tiller Nephilim
