Abrade
Acorn Catapult
Akroma's Memorial
Alpha Kavu
Ameboid Changeling
Anax, Hardened in the Forge
Ancestor's Prphet
Ancient Craving
Angels' Grace
Angrath, Captain of Chaos
Anointer Priest
Arcbound Slith
Arcum's Astrolabe
Army Ants
Aven Riftwatcher
Awakening
Battle of Wits
Beck // Call
Belfry Spirit
Beseech the Queen
Blight Sickle
Bloodghast
Bloodlord of Vaasgoth
Body Snatcher
Bogbrew Witch
Boggart Arsonists
Bojuka Bog
Bonehoard
Boros Challenger
Brain Freeze
Brainstorm
Brazen Borrower
Brink of Madness
Broodstar
Brothers Yamazaki
Burst Lightning
Cadaverous Knight
Calming Licid
Cathedral of War
Chemister's Insight
Chromanticore
Chulane, Teller of Tales
Clearwater Goblet
Cloudgoat Ranger
Command Beacon
Contagion Engine
Council's Judgement
Coveted Peacock
Cradle Guard
Crown of Empires
Cruel Tutor
Cryptic Command
Crystalline Sliver
Curious Pair
Cut // Ribbons
Decree of Annihilation
Diregraf Captain
Disenchant
Djinn Illuminatus
Doom Blade
Doomwake Giant
Door to Nothingness
Doran, the Siege-Tower
Drift of Phantasms
Dromar, the Banisher
Dryad Arbor
Dune-Brood Nephilim
Eldrazi Displacer
Eldrazi Temple
Electrostatic Pummeler
Elvish Archdruid
Emeria Angel
Emeria, the Sky Ruin
Emrakul, the Aeons Torn
Enclave Cryptologist
Endling
Enlightened Tutor
Entreat the Angels
Erratic Portal
Eternal Domination
Eternal Witness
Etherium-Horn Sorcerer
Everflowing Chalice
Evermind
Extinction
Eye of the Storm
Ezuri, Claw of Progress
Fabricate
Fall of the Titans
Fathom Mage
Fellwar Stone
Fiery Justice
Fodder Cannon
Fomori Nomad
Food Chain
Forced Fruition
Fractured Powerstone
Gaea's Anthem
Gatekeeper of Malakir
Gempalm Polluter
Gemstone Mine
Genesis Hydra
Gideon, Ally of Zendikar
Gigantosaurus
Goblin Chieftain
Goblin Grenade
Goblin Lore
Godsire
Goldenglow Moth
Golgari Thug
Gorm the Great
Grim Haruspex
Grim Harvest
Grizzly Fate
Groundbreaker
Hammer Mage
Hammer of Purphoros
Harmonize
Hashep Oasis
Helix Pinnacle
Hell's Thunder
Helm of Kaldra
Hidestugu's Second Rite
History of Benalia
Hua Tuo, Honored Physician
Hundred-Handed One
Hunted Dragon
Imperious Perfect
Inventor's Fair
Ishkanah, Gradwidow
Isochron Scepter
Iterative Analysis
Ith, High Arcanist
Ixidor, Reality Sculptor
Jadelight Ranger
Jaya's Immolating Inferno
Jwari Shapeshifter
Kalastria Highborn
Kalonian Hydra
Kazandu Blademaster
Keeper of the Nine Gales
Khalni Hydra
Kher Keep
Kilnmouth Dragon
Kingpin's Pet
Korlash, Heir to Blackblade
Krark's Thumb
Land Tax
Lash Out
Lashweed Lurker
Latchkey Faerie
Lazab, the Multifarious
Light Up the Stage
Lightning Angel
Lightning Bolt
Lightning Crafter
Living Death
Llanowar Reborn
Lord of the Undead
Lorthos, the Tidemaker
Lotus Bloom
Loyal Unicorn
Maelstrom Nexus
Man-o'-War
Marauding Raptor
Memnite
Merfolk Mistbinder
Mischievous Quanar
Moggcatcher
Monastery Mentor
Moon-Eating Dog
Moonmist
Muldrotha, the Gravetide
Murderous Cut
Murderous Redcap
Muscle Sliver
Mycosynth Golem
Nahiri, the Lithomancer
Necravolver
Necromancy
Necrotic Sliver
Negate
Nezumi Graverobber
Nicol Bolas
Nightshade Peddler
Nissa Revane
Noble Benefactor
Noggle Hedge-Mage
Nykthos, Shrine to Nyx
Nylea, God of the Hunt
Octopus Umbra
Odds // Ends
Oloro, Ageless Ascetic
Omnath, Locus of Rage
Oubliette
Pact of Negation
Panharmonicon
Parallax Wave
Parallel Evolution
Patron of the Akki
Patron Wizard
Pegasus Stampede
Phyrexian Obliterator
Phyrexian Tower
Phyrexian Tyranny
Plains (Unglued)
Plated Geopede
Platinum Angel
Pouncing Shoreshark
Primal Vigor
Prismatic Geoscope
Progenitus
Promise of Power
Pteramander
Puppet's Verdict
Pyromancer Ascension
Reality Shift
Regal Caracal
Relentless Rats
Rest in Peace
Retreat to Coralhelm
Reveillark
Riptide Laboratory
Rootrunner
Ruination Guide
Saber Ants
Scarecrone
Scourge of the Throne
Scroll Rack
Sedge Sliver
Sensei Golden-Tail
Shambling Shell
Shelldock Isle
Shivan Meteor
Shuriken
Simian Spirit Guide
Skithiryx, the Blight Dragon
Skred
Skullclamp
Sky Hussar
Skyshroud Behemoth
Slimefoot, the Stowaway
Snubhorn Sentry
Soltari Monk
Song of the Dryads
Soul of Zendikar
Spike Weaver
Spined Thopter
Splicer's Skill
Springjack Shepherd
Squirrel Mob
Stone Rain
Stonybrook Banneret
Sunscape Battlemage
Swiftfoot Boots
Tamiyo's Journal
Tek
Temporal Manipulation
Terminate
The Chain Veil
The Flame of Keld
Thought Vessel
Thought-Knot Seer
Thrumming Stone
Tombstalker
Tortured Existence
Training Grounds
Tree of Tales
Triplicate Spirits
Trokin High Guard
Trusty Machete
Tuktuk the Explorer
Ulvenwald Mysteries
Unburial Rites
Urborg Panther
Urza's Blueprints
Vampire Nighthawk
Vampire Nocturnus
Vanguard of Brimaz
Vesuva
Victimize
Virtus the Veiled
Vite-Ghazi Guildmage
Vodalian Illusionist
Voracious Dragon
Warp World
Wastes
Wayfarer's Bauble
Weatherlight
Wild Research
Willow Dryad
Winds of Abandon
Wizened Cenn
Workhorse
Worn Powerstone
Wrath of God
Wrenn and Six
Yavimaya Scion
Zendikar Incarnate
Zendikar Resurgent
